S/No,Pubchem CID,SID,IC50 [mM],pIC50,Predicted pIC50
1,785275,170484936,692,3.159894,3.239755
2,66563668,170484943,5453,2.263365,2.639505
3,74341,170484942,6247,2.204328,3.019413
4,26295,170484941,520,3.283997,3.304138
5,74463,170484940,3471,2.459545,2.924253
6,7191,170484939,818,3.087247,3.828091
7,69892,170484938,1534,2.814175,2.767935
8,439246,170484937,292,3.534617,4.01028
9,56973540,170484945,0.013,7.886057,8.234412
10,24782810,170484930,0.25,6.60206,7.399344
11,57339141,170484929,85,4.070581,4.814092
12,1392066,170484965,0.089,7.05061,6.247152
13,70679357,170484987,98.747,4.005476,4.924297
14,17941505,170484986,0.62,6.207608,6.23
15,72200931,170484982,0.0085,8.070581,7.349294
16,72200930,170484981,0.044,7.356547,7.536975
17,72200922,170484972,0.0042,8.376751,7.912144
18,16035825,170484969,0.00028,9.552842,8.066834
19,57339140,170484926,45,4.346787,4.635198
20,7308274,170484964,0.55,6.259637,7.262241
21,72200917,170484962,0.005,8.30103,9.050331
22,72200916,170484960,7.7,5.113509,5.942321
23,119076235,170484959,4.37,5.359519,4.544415
24,56965952,170484951,0.005,8.30103,8.905087
25,42365204,170484946,5103,2.292174,1.963777
26,72200879,170484868,8.36,5.077794,6.881684
27,54676638,170484879,3000,2.522879,2.548227
28,54675839,170484878,5000,2.30103,2.275081
29,1301419,170484876,0.4,6.39794,6.332527
30,60196236,170484875,0.006,8.221849,7.489887
31,60196235,170484874,0.003,8.522879,8.215942
32,56962329,170484871,3.9,5.408935,5.962182
33,72200880,170484870,5.8,5.236572,6.203913
34,72200877,170484864,0.078,7.107905,7.246949
35,72200876,170484863,0.4,6.39794,7.664607
36,72200874,170484859,0.001,9,8.33538
37,56844264,170484851,1.8,5.744727,7.888918
38,10112384,170484850,0.02,7.69897,6.693438
39,72200865,170484836,0.0055,8.259637,7.544568
40,72200905,170484925,0.00234,8.630784,6.78207
41,72200904,170484924,0.00826,8.08302,7.226613
42,72200903,170484923,1.48,5.829738,6.68798
43,72200902,170484919,0.845,6.073143,6.394394
44,71578921,170484918,8.7,5.060481,5.719465
45,71568837,170484917,4.2,5.376751,6.452799
46,27816547,170484988,45,4.346787,5.188489
47,71271629,170484909,0.22,6.657577,6.555084
48,72200893,170484908,0.23,6.638272,7.549387
49,72200892,170484906,0.81,6.091515,7.6803
50,72200884,170484896,0.43,6.366532,5.873786
51,54736916,170484895,21.3,4.67162,3.500169
52,72200883,170484894,15,4.823909,4.519285
53,56955962,170484893,0.007,8.154902,7.427209
54,54762546,170485100,0.005,8.30103,7.24275
55,72200978,170485112,3,5.522879,7.102527
56,72200976,170485111,6.1,5.21467,5.927952
57,70678492,170485109,0.078,7.107905,7.650513
58,70678491,170485108,1.2,5.920819,6.848845
59,54762546,170485103,0.038,7.420216,7.24275
60,54762496,170485102,0.006,8.221849,7.288036
61,54762597,170485101,0.0128,7.89279,7.671641
62,54762496,170485099,0.005,8.30103,7.288036
63,66545762,170485098,0.0114,7.943095,7.196207
64,66545761,170485097,0.0105,7.978811,8.058112
65,66545760,170485096,0.0092,8.036212,7.763941
66,72200974,170485095,0.12,6.920819,6.630564
67,60196240,170485087,0.021,7.677781,7.061378
68,72200970,170485085,0.00093,9.031517,7.431757
69,72200989,170485140,24,4.619789,6.001312
70,72200988,170485139,0.0012,8.920819,8.381403
71,72200987,170485137,0.4,6.39794,8.147745
72,72200986,170485136,0.01,8,8.147745
73,72200985,170485135,0.073,7.136677,8.285655
74,71271969,170485134,4.4,5.356547,6.028005
75,66553125,170485133,1.9,5.721246,6.265419
76,66553124,170485132,4.8,5.318759,6.065002
77,2110176,170485129,0.0079,8.102373,6.64718
78,56834912,170485124,0.003,8.522879,6.402579
79,119076239,170485118,1.9,5.721246,6.066187
80,119076237,170485116,0.51,6.29243,6.324331
81,72200981,170485114,0.92,6.036212,6.249437
82,60167574,170485016,0.1,7,5.648106
83,72200943,170485034,0.003,8.522879,7.495664
84,72200942,170485033,0.005,8.30103,8.556423
85,60167577,170485026,5.14,5.289037,6.379662
86,60167576,170485025,5.58,5.253366,6.570925
87,51035428,170485024,7.45,5.127844,6.162469
88,60167575,170485023,3.59,5.444906,5.045872
89,72200944,170485035,0.0012,8.920819,7.978647
90,60167573,170485015,0.035,7.455932,5.648106
91,6957671,170485014,1350,2.869666,4.318172
92,60150358,170485005,0.00028,9.552842,5.892887
93,57732460,170485004,0.0029,8.537602,6.842257
94,6919038,170484997,58,4.236572,2.509038
95,72200936,170484995,8.2,5.086186,5.988233
96,72200934,170484994,1.6,5.79588,5.595855
97,72200864,170484834,0.028,7.552842,7.795546
